Name,Website,Industry,Country,Funding Amount (USD),Funding Type,Last Funding Date
Mercor,mercor.com,Artificial Intelligence,United States,75000000.0,Series B,Feb 2025
Created by Humans,www.createdbyhumans.ai,Artificial Intelligence,United States,5500000.0,Seed,Feb 2025
Manas AI,www.manasai.co,Artificial Intelligence,United States,24600000.0,Seed,Feb 2025
BluWhale,bluwhale.net,"Artificial Intelligence, Cloud Computing",United States,75000000.0,Initial Coin Offering,Feb 2025
Savant Labs,savantlabs.io,"Artificial Intelligence, Data, Analytics",United States,18500000.0,Series A,Feb 2025
Athenic AI,Athenic.com,"Artificial Intelligence, Data, Analytics",United States,4300000.0,Seed,Feb 2025
Delve,www.delve.co,"Artificial Intelligence, Data, Marketing",United States,3300000.0,Seed,Feb 2025
Motif,motif.io,Augmented Reality,United States,46000000.0,Series A,Feb 2025
Atomicwork,www.atomicwork.com,Cloud Computing,United States,25000000.0,Series A,Feb 2025
Kroskod,Kroskod.com,Cloud Computing,United States,,Pre-Seed,Feb 2025
Roofr,roofr.com,"Construction, Marketplace, Aerospace",United States,,Series B,Feb 2025
Pakal Technologies,pakal-tech.com,Electronics,United States,25000000.0,Series B,Feb 2025
Smart Wires,www.smartwires.com,Energy,United States,65000000.0,Private Equity,Feb 2025
WeaveGrid,www.weavegrid.com,"Energy, Cloud Computing",United States,,Venture - Series Unknown,Feb 2025
Wisetack,www.wisetack.com,Finance,United States,25000000.0,Venture - Series Unknown,Feb 2025
Taxflow,www.jointaxflow.ai,"FinTech, Finance",United States,750000.0,Pre-Seed,Feb 2025
Bicycle Health,www.bicyclehealth.com,Healthcare,United States,16500000.0,Venture - Series Unknown,Feb 2025
Delfina,www.delfina.com,Healthcare,United States,17000000.0,Series A,Feb 2025
Safely You,www.safely-you.com,"Healthcare, Family",United States,43000000.0,Series C,Feb 2025
Waterlily,www.waterlily.com,"Healthcare, Insurance, Family",United States,7000000.0,Seed,Feb 2025
Tandem Space,tandem.space,Aerospace,United States,6100000.0,Seed,Feb 2025
Riot,tryriot.com,Artificial Intelligence,United States,30000000.0,Series B,Feb 2025
Response,www.tryresponse.com,Artificial Intelligence,United States,4160000.0,Seed,Feb 2025
TrueFoundry,truefoundry.com,Artificial Intelligence,United States,19000000.0,Series A,Feb 2025
Ivo,www.ivo.ai,"Artificial Intelligence, Marketing",United States,16000000.0,Series A,Feb 2025
Warmly,warmly.ai,"Artificial Intelligence, Sales",United States,6000000.0,Series A,Feb 2025
Plume Network,www.plumenetwork.xyz,Blockchain,United States,,Venture - Series Unknown,Feb 2025
Monograph,monograph.com,"Cloud Computing, Architecture",United States,20000000.0,Series B,Feb 2025
Trace.Space,trace.space,"Cloud Computing, Artificial Intelligence",United States,4000000.0,Seed,Feb 2025
Semgrep,semgrep.dev,"Cyber Security, Analytics",United States,100000000.0,Series D,Feb 2025
Converge,www.runconverge.com,"Data, Marketing",United States,5600000.0,Venture - Series Unknown,Feb 2025
Archive,www.archiveresale.com,"E-commerce, Fashion, Marketplace",United States,30000000.0,Series B,Feb 2025
TaxGPT,www.taxgpt.com,"Finance, Artificial Intelligence",United States,4600000.0,Seed,Feb 2025
Sotira,sotira.co,"FinTech, Finance",United States,2000000.0,Pre-Seed,Feb 2025
Little Otter,www.littleotterhealth.com,"Healthcare, Mental Health",United States,9500000.0,Venture - Series Unknown,Feb 2025
Fay,www.faynutrition.com,"Healthcare, Wellness, Nutrition and Supplements",United States,50000000.0,Series B,Feb 2025
Tyba,www.tyba.ai,"Human Resources, Recruiting, Artificial Intelligence",United States,13900000.0,Series A,Feb 2025
Mixedbread,mixedbread.ai,Artificial Intelligence,United States,5500000.0,Seed,Feb 2025
Fal,www.fal.ai,Artificial Intelligence,United States,49000000.0,Series B,Feb 2025
Pinkfish,www.pinkfish.ai,Artificial Intelligence,United States,7600000.0,Pre-Seed,Feb 2025
Future AGI,futureagi.com,Artificial Intelligence,United States,1600000.0,Pre-Seed,Feb 2025
Harvey,harvey.ai,"Artificial Intelligence, Legal",United States,300000000.0,Series D,Feb 2025
Tofu,www.tofuhq.com,Cloud Computing,United States,12000000.0,Series A,Feb 2025
Hydro Wind Energy,www.hw.energy,Energy,United States,82660.0,Equity Crowdfunding,Feb 2025
Limited,limitedapp.com,Finance,United States,3000000.0,Pre-Seed,Feb 2025
Comulate,www.comulate.com,"Finance, Analytics",United States,20000000.0,Series B,Feb 2025
museLIVE Inc.,quabble.app,Gaming,United States,,Seed,Feb 2025
Candid Health,www.joincandidhealth.com,Healthcare,United States,52500000.0,Series C,Feb 2025
Junevity,www.junevity.com,"Healthcare, Wellness",United States,10000000.0,Seed,Feb 2025
Human,joinhuman.com,Human Resources,United States,7300000.0,Pre-Seed,Feb 2025
Vouch,www.vouch.us,Insurance,United States,,Series D,Feb 2025
Index,www.index.inc,Marketing,United States,2193705.0,Seed,Feb 2025
Suger,www.suger.io,Marketplace,United States,15000000.0,Series A,Feb 2025
Fifteenth,www.fifteenth.com,"Real Estate, Property Management",United States,8250000.0,Seed,Feb 2025
Era Finance,era.app,Wellness,United States,6200000.0,Seed,Feb 2025
Beam,www.trybeam.com,Wellness,United States,11000000.0,Series A,Feb 2025
Baseten,www.baseten.co,Artificial Intelligence,United States,75000000.0,Series C,Feb 2025
CTGT,www.ctgt.ai,Artificial Intelligence,United States,7200000.0,Seed,Feb 2025
Entangl,www.entangl.ai,Artificial Intelligence,United States,,Venture - Series Unknown,Feb 2025
Lingo.dev,lingo.dev,Artificial Intelligence,United States,4200000.0,Seed,Feb 2025
Pulse,www.runpulse.com,Artificial Intelligence,United States,3900000.0,Seed,Feb 2025
Sawmills,www.sawmills.ai,Artificial Intelligence,United States,10000000.0,Seed,Feb 2025
Together AI,www.together.ai,"Artificial Intelligence, Cloud Computing",United States,305000000.0,Series B,Feb 2025
Mercor,mercor.com,"Artificial Intelligence, Human Resources",United States,100000000.0,Series B,Feb 2025
Aomni,www.aomni.com,"Artificial Intelligence, Sales",United States,4000000.0,Seed,Feb 2025
Hightouch,www.hightouch.com,"Data, Marketing",United States,80000000.0,Series C,Feb 2025
Riley,rileyapp.com,"Finance, Cloud Computing",United States,3100000.0,Seed,Feb 2025
Varo Bank,www.varomoney.com,"FinTech, Finance",United States,28982355.0,Series G,Feb 2025
Lambda,lambdalabs.com,"Hardware, Artificial Intelligence",United States,480000000.0,Series D,Feb 2025
