category,date,funding,name,round,source,website
Artificial Intelligence,Feb 2025,"$5,500,000",Created by Humans,Seed,Growth List,www.createdbyhumans.ai
Artificial Intelligence,Feb 2025,"$24,600,000",Manas AI,Seed,Growth List,www.manasai.co
"Artificial Intelligence, Cloud Computing",Feb 2025,"$75,000,000",BluWhale,Initial Coin Offering,Growth List,bluwhale.net
"Artificial Intelligence, Data, Analytics",Feb 2025,"$18,500,000",Savant Labs,Series A,Growth List,savantlabs.io
"Artificial Intelligence, Data, Analytics",Feb 2025,"$4,300,000",Athenic AI,Seed,Growth List,Athenic.com
"Artificial Intelligence, Data, Marketing",Feb 2025,"$3,300,000",Delve,Seed,Growth List,www.delve.co
Augmented Reality,Feb 2025,"$46,000,000",Motif,Series A,Growth List,motif.io
Cloud Computing,Feb 2025,"$25,000,000",Atomicwork,Series A,Growth List,www.atomicwork.com
Cloud Computing,Feb 2025,,Kroskod,Pre-Seed,Growth List,Kroskod.com
"Construction, Marketplace, Aerospace",Feb 2025,,Roofr,Series B,Growth List,roofr.com
Electronics,Feb 2025,"$25,000,000",Pakal Technologies,Series B,Growth List,pakal-tech.com
Energy,Feb 2025,"$65,000,000",Smart Wires,Private Equity,Growth List,www.smartwires.com
"Energy, Cloud Computing",Feb 2025,,WeaveGrid,Venture - Series Unknown,Growth List,www.weavegrid.com
Finance,Feb 2025,"$25,000,000",Wisetack,Venture - Series Unknown,Growth List,www.wisetack.com
"FinTech, Finance",Feb 2025,"$750,000",Taxflow,Pre-Seed,Growth List,www.jointaxflow.ai
Healthcare,Feb 2025,"$16,500,000",Bicycle Health,Venture - Series Unknown,Growth List,www.bicyclehealth.com
Healthcare,Feb 2025,"$17,000,000",Delfina,Series A,Growth List,www.delfina.com
"Healthcare, Family",Feb 2025,"$43,000,000",Safely You,Series C,Growth List,www.safely-you.com
"Healthcare, Insurance, Family",Feb 2025,"$7,000,000",Waterlily,Seed,Growth List,www.waterlily.com
Aerospace,Feb 2025,"$6,100,000",Tandem Space,Seed,Growth List,tandem.space
Artificial Intelligence,Feb 2025,"$30,000,000",Riot,Series B,Growth List,tryriot.com
Artificial Intelligence,Feb 2025,"$4,160,000",Response,Seed,Growth List,www.tryresponse.com
Artificial Intelligence,Feb 2025,"$19,000,000",TrueFoundry,Series A,Growth List,truefoundry.com
"Artificial Intelligence, Marketing",Feb 2025,"$16,000,000",Ivo,Series A,Growth List,www.ivo.ai
"Artificial Intelligence, Sales",Feb 2025,"$6,000,000",Warmly,Series A,Growth List,warmly.ai
Blockchain,Feb 2025,,Plume Network,Venture - Series Unknown,Growth List,www.plumenetwork.xyz
"Cloud Computing, Architecture",Feb 2025,"$20,000,000",Monograph,Series B,Growth List,monograph.com
"Cloud Computing, Artificial Intelligence",Feb 2025,"$4,000,000",Trace.Space,Seed,Growth List,trace.space
"Cyber Security, Analytics",Feb 2025,"$100,000,000",Semgrep,Series D,Growth List,semgrep.dev
"Data, Marketing",Feb 2025,"$5,600,000",Converge,Venture - Series Unknown,Growth List,www.runconverge.com
"E-commerce, Fashion, Marketplace",Feb 2025,"$30,000,000",Archive,Series B,Growth List,www.archiveresale.com
"Finance, Artificial Intelligence",Feb 2025,"$4,600,000",TaxGPT,Seed,Growth List,www.taxgpt.com
"FinTech, Finance",Feb 2025,"$2,000,000",Sotira,Pre-Seed,Growth List,sotira.co
"Healthcare, Mental Health",Feb 2025,"$9,500,000",Little Otter,Venture - Series Unknown,Growth List,www.littleotterhealth.com
"Healthcare, Wellness, Nutrition and Supplements",Feb 2025,"$50,000,000",Fay,Series B,Growth List,www.faynutrition.com
"Human Resources, Recruiting, Artificial Intelligence",Feb 2025,"$13,900,000",Tyba,Series A,Growth List,www.tyba.ai
Artificial Intelligence,Feb 2025,"$5,500,000",Mixedbread,Seed,Growth List,mixedbread.ai
Artificial Intelligence,Feb 2025,"$49,000,000",Fal,Series B,Growth List,www.fal.ai
Artificial Intelligence,Feb 2025,"$7,600,000",Pinkfish,Pre-Seed,Growth List,www.pinkfish.ai
Artificial Intelligence,Feb 2025,"$1,600,000",Future AGI,Pre-Seed,Growth List,futureagi.com
"Artificial Intelligence, Legal",Feb 2025,"$300,000,000",Harvey,Series D,Growth List,harvey.ai
Cloud Computing,Feb 2025,"$12,000,000",Tofu,Series A,Growth List,www.tofuhq.com
Energy,Feb 2025,"$82,660",Hydro Wind Energy,Equity Crowdfunding,Growth List,www.hw.energy
Finance,Feb 2025,"$3,000,000",Limited,Pre-Seed,Growth List,limitedapp.com
"Finance, Analytics",Feb 2025,"$20,000,000",Comulate,Series B,Growth List,www.comulate.com
Gaming,Feb 2025,,museLIVE Inc.,Seed,Growth List,quabble.app
Healthcare,Feb 2025,"$52,500,000",Candid Health,Series C,Growth List,www.joincandidhealth.com
"Healthcare, Wellness",Feb 2025,"$10,000,000",Junevity,Seed,Growth List,www.junevity.com
Human Resources,Feb 2025,"$7,300,000",Human,Pre-Seed,Growth List,joinhuman.com
Insurance,Feb 2025,,Vouch,Series D,Growth List,www.vouch.us
Marketing,Feb 2025,"$2,193,705",Index,Seed,Growth List,www.index.inc
Marketplace,Feb 2025,"$15,000,000",Suger,Series A,Growth List,www.suger.io
"Real Estate, Property Management",Feb 2025,"$8,250,000",Fifteenth,Seed,Growth List,www.fifteenth.com
Wellness,Feb 2025,"$6,200,000",Era Finance,Seed,Growth List,era.app
Wellness,Feb 2025,"$11,000,000",Beam,Series A,Growth List,www.trybeam.com
Artificial Intelligence,Feb 2025,"$75,000,000",Baseten,Series C,Growth List,www.baseten.co
Artificial Intelligence,Feb 2025,"$7,200,000",CTGT,Seed,Growth List,www.ctgt.ai
Artificial Intelligence,Feb 2025,,Entangl,Venture - Series Unknown,Growth List,www.entangl.ai
Artificial Intelligence,Feb 2025,"$4,200,000",Lingo.dev,Seed,Growth List,lingo.dev
Artificial Intelligence,Feb 2025,"$3,900,000",Pulse,Seed,Growth List,www.runpulse.com
Artificial Intelligence,Feb 2025,"$10,000,000",Sawmills,Seed,Growth List,www.sawmills.ai
"Artificial Intelligence, Cloud Computing",Feb 2025,"$305,000,000",Together AI,Series B,Growth List,www.together.ai
